P     H     T_EJEC_AVG   FITNESS_AVG        EFICIENCIA_I
4     10    3.1933       4045345.1133       1266822.758055
4     12    3.0333       4047064.4233       1334211.724293
4     14    3.0466       4045286.2733       1327803.542736
4     16    3.0900       4048678.1866       1310251.840323
4     20    3.0966       4049699.1866       1307788.925466



