nvcc -m64 -I/usr/local/cuda/include -I../Common -Wno-deprecated-gpu-targets -o bandwidthTest.o -c bandwidthTest.cu
g++ -O3 bandwidthTest.o -o bandwidthTest -L/usr/local/cuda/lib64 -lcudart -lm
./bandwidthTest --device=0 --memory=pageable --mode=range --start=1024 --end=67108864 --increment=524288 --htod
[CUDA Bandwidth Test] - Starting...
Running on...

 Device 0: NVIDIA GeForce GT 1030
 Range Mode

 Host to Device Bandwidth, 1 Device(s)
 PAGEABLE Memory Transfers
   Transfer Size (Bytes)	Bandwidth(MB/s)
   1024				133.3
   525312			2441.7
   1049600			2209.5
   1573888			2527.1
   2098176			2720.8
   2622464			2763.6
   3146752			2792.1
   3671040			2777.6
   4195328			2836.9
   4719616			2742.0
   5243904			2865.7
   5768192			2876.5
   6292480			2883.2
   6816768			2888.1
   7341056			2894.7
   7865344			2884.0
   8389632			2841.7
   8913920			2856.3
   9438208			2917.7
   9962496			2922.3
   10486784			2926.8
   11011072			2917.8
   11535360			2920.6
   12059648			2927.1
   12583936			2926.6
   13108224			2941.3
   13632512			2901.1
   14156800			2865.2
   14681088			2939.8
   15205376			2942.0
   15729664			2946.6
   16253952			2934.1
   16778240			2900.4
   17302528			2906.5
   17826816			2937.5
   18351104			2935.2
   18875392			2936.9
   19399680			2939.3
   19923968			2942.7
   20448256			2940.4
   20972544			2943.9
   21496832			2945.4
   22021120			2948.6
   22545408			2947.4
   23069696			2946.1
   23593984			2947.5
   24118272			2951.8
   24642560			2952.7
   25166848			2954.0
   25691136			2950.7
   26215424			2953.4
   26739712			2955.6
   27264000			2957.9
   27788288			2958.0
   28312576			2956.9
   28836864			2956.7
   29361152			2960.9
   29885440			2944.9
   30409728			2955.7
   30934016			2946.2
   31458304			2962.2
   31982592			2950.0
   32506880			2963.9
   33031168			2963.7
   33555456			2951.0
   34079744			2938.7
   34604032			2955.5
   35128320			2633.6
   35652608			2862.6
   36176896			2946.3
   36701184			2948.6
   37225472			2946.7
   37749760			2925.7
   38274048			2939.5
   38798336			2961.2
   39322624			2967.6
   39846912			2576.9
   40371200			2602.2
   40895488			2602.6
   41419776			2755.2
   41944064			2928.4
   42468352			2972.4
   42992640			2970.9
   43516928			2932.8
   44041216			2970.6
   44565504			2953.8
   45089792			2945.1
   45614080			2973.9
   46138368			2974.1
   46662656			2967.3
   47186944			2966.0
   47711232			2967.0
   48235520			2974.5
   48759808			2975.0
   49284096			2976.4
   49808384			2975.7
   50332672			2977.2
   50856960			2975.7
   51381248			2789.0
   51905536			2900.2
   52429824			2763.9
   52954112			2619.6
   53478400			2810.3
   54002688			2865.3
   54526976			2958.3
   55051264			2484.9
   55575552			2481.9
   56099840			2833.1
   56624128			2978.4
   57148416			2979.8
   57672704			2961.2
   58196992			2961.0
   58721280			2976.8
   59245568			2976.1
   59769856			2979.6
   60294144			2979.6
   60818432			2982.1
   61342720			2805.3
   61867008			2826.0
   62391296			2848.1
   62915584			2981.0
   63439872			2982.6
   63964160			2979.4
   64488448			2981.6
   65012736			2981.3
   65537024			2978.7
   66061312			2983.5
   66585600			2979.1

Result = PASS
./bandwidthTest --device=0 --memory=pageable --mode=range --start=1024 --end=67108864 --increment=524288 --dtod
[CUDA Bandwidth Test] - Starting...
Running on...

 Device 0: NVIDIA GeForce GT 1030
 Range Mode

 Device to Device Bandwidth, 1 Device(s)
 PAGEABLE Memory Transfers
   Transfer Size (Bytes)	Bandwidth(MB/s)
   1024				721.7
   525312			14960.1
   1049600			14035.3
   1573888			14187.8
   2098176			14185.3
   2622464			14225.0
   3146752			14325.4
   3671040			14317.3
   4195328			14327.6
   4719616			14352.9
   5243904			14351.0
   5768192			14362.4
   6292480			14391.7
   6816768			14379.0
   7341056			14391.7
   7865344			14395.7
   8389632			14404.4
   8913920			14418.2
   9438208			14413.3
   9962496			14403.0
   10486784			14412.9
   11011072			14427.6
   11535360			14432.0
   12059648			14423.3
   12583936			14435.9
   13108224			14430.6
   13632512			14423.2
   14156800			14424.1
   14681088			14434.4
   15205376			14422.3
   15729664			14426.9
   16253952			14441.6
   16778240			14434.8
   17302528			14429.7
   17826816			14449.2
